,RT,m/z,Metabolite,HMDB (*Representative ID),Pooled QC sample CV,Method,Intercept,diagnosis[T.UC],diagnosis[T.nonIBD],chemical_name
C8p_QI22612,9.12,700.5877,,,0.06939918,C8-pos,-1.0251176743749753,-0.07236500751568542,0.7994690613893223,C8p_QI22612
C8p_QI22646,9.12,701.409,,,0.024606408,C8-pos,1.6219732374902591,0.8150835417549445,0.4617163615373325,C8p_QI22646
C8p_QI23489,9.12,721.5064,,,0.07103106099999999,C8-pos,0.9547378630395756,0.5839323185722662,0.2733492331651401,C8p_QI23489
C8p_QI24033,9.12,736.5424,,,0.079694772,C8-pos,-1.0680044083837643,0.5555183075706793,0.3989574389604281,C8p_QI24033
C8p_QI27693,9.12,898.5177,,,0.07247249,C8-pos,-0.9808700471166744,0.7976260565559699,0.4121976571229649,C8p_QI27693
C8p_QI25824,9.13,804.5781,,,0.17077659399999998,C8-pos,-1.4335182099584711,0.6226060770790411,-0.18918388317549706,C8p_QI25824
C8p_QI19408,9.14,632.5607,,,0.039437251,C8-pos,1.6511227698083744,0.13899973857806458,0.6538863854554844,C8p_QI19408
C8p_QI22711,9.14,702.6004,,,0.057815251,C8-pos,-0.8613145737890378,0.3981278322975471,0.5337402300981235,C8p_QI22711
C8p_QI14414,9.15,539.5035,,,0.0324768,C8-pos,0.9511224837060794,0.18482760417865046,1.109953649535532,C8p_QI14414
C8p_QI15195,9.15,553.5192,,,0.048510434000000005,C8-pos,-0.34143332531491666,-0.2531551934440319,0.5745945649293613,C8p_QI15195
C8p_QI15349,9.15,556.5301,,,0.041022895,C8-pos,0.20876999804934115,0.3185677908699329,1.147774465575571,C8p_QI15349
C8p_QI16081,9.15,570.5456,,,0.050588741,C8-pos,-1.1216094880346432,-0.03995557796551452,0.8580494599488926,C8p_QI16081
C8p_QI18799,9.15,620.5986,,,1.897021041,C8-pos,0.2416431517358646,-0.23409553539349304,-1.8280593676420496,C8p_QI18799
C8p_QI22873,9.15,705.5766,,,0.10205901,C8-pos,-1.366815367246069,0.5266755007545783,0.9513546304849338,C8p_QI22873
C8p_QI25157,9.15,776.6605,,,0.046207406,C8-pos,1.0188228697534427,-4.418938598747987,-5.210511855587606,C8p_QI25157
C8p_QI25930,9.15,808.6653,,,0.07405705900000001,C8-pos,-0.8391540436987057,0.2873163603584601,-1.0155648512693691,C8p_QI25930
C8p_QI26394,9.15,830.6478,,,0.046897985,C8-pos,0.03552266070803256,0.5368957899849232,-0.7877196593138027,C8p_QI26394
C8p_QI28121,9.15,924.2695,,,0.316730813,C8-pos,0.169317445253931,0.8168169640343006,0.6091534571794224,C8p_QI28121
C8p_QI16254,9.16,573.4854,,,0.037849398,C8-pos,-0.9685914902929441,0.5031001948158575,0.7653614955095005,C8p_QI16254
C8p_QI17023,9.16,587.4683,,,0.07788041400000001,C8-pos,-0.23455504467526825,-3.054182491417663,-3.9692193789335537,C8p_QI17023
C8p_QI17052,9.16,587.9698,,,0.06289049599999999,C8-pos,-0.7268731980566159,-3.980368099327821,-5.151991061672812,C8p_QI17052
C8p_QI17116,9.16,589.4593,,,0.050708175999999994,C8-pos,-1.2545097260717526,0.4816000841896351,0.5603193717149448,C8p_QI17116
C8p_QI18377,9.16,612.5331,,,0.271607666,C8-pos,-1.1057489304784909,0.08063296306536928,0.01452071239029884,C8p_QI18377
C8p_QI18991,9.16,624.5563,,,0.05228167400000001,C8-pos,-0.6755102067236081,0.6011692665855719,0.6403523163942051,C8p_QI18991
C8p_QI19261,9.16,629.5117,,,0.037689898,C8-pos,-0.4823005585912839,0.7444259308616932,0.5797718243745518,C8p_QI19261
C8p_QI20029,9.16,645.4852,,,0.036555038,C8-pos,-0.8378255753759518,0.5408735655586536,0.22266752292191505,C8p_QI20029
C8p_QI20302,9.16,651.4744,,,0.034093411000000004,C8-pos,0.5966097922082767,-0.2023832417686151,0.0748630242494297,C8p_QI20302
C8p_QI21273,9.16,671.5717,,,0.058000797,C8-pos,-0.06608466198483852,-0.3234004594047235,0.32239217330491066,C8p_QI21273
C8p_QI26288,9.16,824.6584,,,0.06676148700000001,C8-pos,-0.8976228623632565,0.409250297431214,0.11167223025834083,C8p_QI26288
C8p_QI16689,9.17,581.5632,,,3.652618294,C8-pos,-0.06306532909909635,-2.2318896866996454,-4.0462824625822345,C8p_QI16689
C8p_QI19104,9.17,626.5352,,,3.5681359089999996,C8-pos,1.3477174849267826,-1.9391154862601925,-1.3383461756559658,C8p_QI19104
C8p_QI18625,9.18,617.3878,,,0.228787674,C8-pos,-1.0975063233617917,0.6776671789924933,0.6581906752732944,C8p_QI18625
C8p_QI23501,9.18,721.5939,,,0.049245501,C8-pos,-0.8597400574926509,0.7688417815010364,0.9714498000291538,C8p_QI23501
C8p_QI25365,9.18,784.6293,,,0.047631078,C8-pos,-0.8666637330297604,0.5510468863289191,0.4858914094117832,C8p_QI25365
C8p_QI25472,9.18,789.5852,,,0.033506907,C8-pos,0.5968105406518802,0.6943409823219611,0.5152935462144566,C8p_QI25472
C8p_QI25849,9.18,805.5567,,,0.085943987,C8-pos,-0.6594360261205807,0.7933451317589117,0.43417877723252296,C8p_QI25849
C8p_QI27327,9.18,878.5852,,,3.346745359,C8-pos,3.5904147238489017,-3.179302177544372,-4.990581683621054,C8p_QI27327
C8p_QI19433,9.19,633.362,,,0.263219298,C8-pos,-0.8156831650976315,0.8415382288734747,0.6464961247590733,C8p_QI19433
C8p_QI22004,9.19,687.495,,,0.08522613400000001,C8-pos,-1.2072751908544674,0.38276819217608704,-0.1838204188200283,C8p_QI22004
C8p_QI12687,9.2,507.5138,,,0.04066021,C8-pos,-0.5140045075658932,0.13121417987750306,0.5084536748079014,C8p_QI12687
C8p_QI14854,9.2,547.5066,,,0.028103517999999997,C8-pos,-0.2778718858007565,0.2591526888649298,0.8204732613710117,C8p_QI14854
C8p_QI15582,9.2,561.4853,,,0.023948964,C8-pos,0.8991019339319095,0.4858932875435187,1.0846164302972507,C8p_QI15582
C8p_QI15791,9.2,565.4553,,,0.056448847,C8-pos,-0.11796168377438933,-2.2989658929069225,-2.309390239224081,C8p_QI15791
C8p_QI16468,9.2,577.4594,,,0.017523498000000002,C8-pos,0.16798134753664584,0.4920575999061878,0.9281149583009434,C8p_QI16468
C8p_QI25900,9.2,807.5918,,,0.14956829800000002,C8-pos,-1.4360969453100338,0.5832821511070545,0.19280416537796974,C8p_QI25900
C8p_QI26147,9.2,818.6021,,,2.450330239,C8-pos,-0.2661817460302487,0.8283192299644764,-4.13262479732955,C8p_QI26147
C8p_QI16477,9.21,577.5186,,,0.034529691,C8-pos,1.4686147780176029,0.5543454073707892,0.7631844954637241,C8p_QI16477
C8p_QI16588,9.21,579.5824,,,0.075876891,C8-pos,-0.9945190339330808,0.3853645705025031,0.31126684714829445,C8p_QI16588
C8p_QI19303,9.21,630.5449,,,0.036218042,C8-pos,2.072826108431421,-0.1881167508323376,0.15025658179795265,C8p_QI19303
C8p_QI21585,9.21,678.6005,,,0.107873292,C8-pos,-1.0388820557836669,0.01922372806475714,0.8653815465120029,C8p_QI21585
C8p_QI22343,9.21,694.5756,,,0.06942251599999999,C8-pos,-1.4240882783178463,-0.17146798145367548,0.7365273909715366,C8p_QI22343
C8p_QI23493,9.21,721.5582,,,0.07712366799999999,C8-pos,-1.2020156769994872,0.240673580054505,0.37460727263962745,C8p_QI23493
C8p_QI23906,9.21,732.6348,,,0.086251009,C8-pos,-0.4189241318945065,-3.4775423623283093,-6.2532383723112375,C8p_QI23906
C8p_QI25549,9.21,793.5581,,,2.584013899,C8-pos,0.12276192614992708,-0.1343433476646112,0.5321994500306797,C8p_QI25549
C8p_QI17407,9.22,594.5814,,,0.049355746,C8-pos,-0.7133443742040768,0.20425538051532044,0.4661938624528599,C8p_QI17407
C8p_QI20553,9.22,656.6189,,,0.054026485,C8-pos,-0.8808505921606198,-0.2404515362937616,0.6805982070115757,C8p_QI20553
C8p_QI20652,9.22,658.5763,,,0.028557844,C8-pos,1.608204564547144,-0.5028810120780651,0.8298261838105869,C8p_QI20652
C8p_QI20873,9.22,663.5318,,,0.037638636,C8-pos,0.11278840014895053,-0.7447070695121472,0.7330417113450718,C8p_QI20873
C8p_QI25522,9.22,792.6303,,,0.077174971,C8-pos,-1.3543479829076899,0.2936606787483509,0.02628511954819679,C8p_QI25522
C8p_QI18310,9.23,611.5004,,,0.034797507000000005,C8-pos,0.4886004538293705,-0.6554436303336786,-0.2636174483152676,C8p_QI18310
C8p_QI21067,9.23,667.5267,,,0.028224906,C8-pos,-0.07200888683835416,0.746950664405091,-0.26118939350569725,C8p_QI21067
C8p_QI21833,9.23,683.5006,,,0.037187159,C8-pos,-0.03722266247311978,0.8681155823509528,0.1614500956681919,C8p_QI21833
C8p_QI4018,9.24,339.2891,,,0.046161613,C8-pos,-0.6674783616308346,0.2287423991005255,0.12531406451737406,C8p_QI4018
C8p_QI17479,9.24,595.5295,,,0.049944942,C8-pos,-0.2040059952978268,0.14911583888934388,0.3739667611268711,C8p_QI17479
C8p_QI18061,9.24,606.5452,,,0.039807293,C8-pos,0.8170206160302982,-0.6262912369926159,-0.5518059058042812,C8p_QI18061
C8p_QI19112,9.24,626.5715,,,0.052186863,C8-pos,-0.02066401531735806,0.6576509856026007,0.5491225199845982,C8p_QI19112
C8p_QI19154,9.24,627.4744,,,0.036887929,C8-pos,-0.2431304841283932,-0.4833612061698602,-0.282421998486166,C8p_QI19154
C8p_QI19451,9.24,633.4854,,,0.020684037,C8-pos,2.6332671255822997,0.9623188160698232,0.5105610566285801,C8p_QI19451
C8p_QI20413,9.24,653.5829,,,0.070518186,C8-pos,-0.7056787400488034,0.2905133150856329,0.293788619532938,C8p_QI20413
C8p_QI20824,9.24,662.5714,,,0.055449642,C8-pos,-0.5236680894140378,-0.09424968730999694,-0.4775668902250576,C8p_QI20824
C8p_QI21680,9.24,680.5611,,,0.05993936,C8-pos,-0.8114345460180417,0.37016681659625306,0.5347516017106724,C8p_QI21680
C8p_QI25736,9.24,800.6604,,,0.054747872999999996,C8-pos,-0.2414310364965573,0.6061460160057379,0.4259182887223911,C8p_QI25736
C8p_QI26391,9.24,830.5939,,,0.07355291,C8-pos,-1.1290853410009518,0.5870473765175177,0.1036645846513462,C8p_QI26391
C8p_QI29678,9.24,1068.8493,,,0.046885736,C8-pos,1.702276429628931,-3.996350727196472,-7.2105557246061585,C8p_QI29678
C8p_QI26225,9.25,822.6421,,,0.034897363,C8-pos,0.6923615545984134,0.6585793875496222,0.24399203826462745,C8p_QI26225
C8p_QI26442,9.25,832.688,,,0.073044778,C8-pos,-0.5122812180761471,0.18571285236285465,0.273658700480814,C8p_QI26442
C8p_QI26865,9.25,854.6688,,,0.038399777999999996,C8-pos,-0.32058600475827603,0.5558005951683338,0.5125755744126987,C8p_QI26865
C8p_QI2969,9.26,313.2735,,,0.035706441,C8-pos,-0.7056625275854245,0.5616313599388434,0.6568064170030308,C8p_QI2969
C8p_QI13809,9.26,528.4761,,,1.62030161,C8-pos,-1.2219474702123776,0.2584195517341925,1.1411525087503147,C8p_QI13809
C8p_QI26553,9.26,838.6171,,,0.13982118300000002,C8-pos,-1.1673095612768307,0.5431663178245856,0.0802106337693882,C8p_QI26553
C8p_QI17786,9.27,601.4574,,,0.408595251,C8-pos,-0.2579152970556393,-0.9700679398734752,-1.1270419878813076,C8p_QI17786
C8p_QI18307,9.27,611.4803,,,4.787723018,C8-pos,0.7450801939721927,-0.7301816559989618,-0.18895333240950585,C8p_QI18307
C8p_QI28433,9.27,946.7192,,,0.072036474,C8-pos,-0.42393855145017056,0.24203638065264954,-1.0500854773374844,C8p_QI28433
C8p_QI28737,9.27,968.7006,,,0.051108163,C8-pos,-0.4946420579198971,0.22542051303790345,-1.3679611010404873,C8p_QI28737
C8p_QI16625,9.28,580.5456,,,0.04742712,C8-pos,-0.11683920910397914,0.4634056471626593,0.6460804419664097,C8p_QI16625
C8p_QI21115,9.28,668.6182,,,0.08089407900000001,C8-pos,-1.0423124222997802,-0.020310840721862174,0.28221506644761085,C8p_QI21115
C8p_QI21500,9.28,676.5872,,,0.037604599,C8-pos,0.2573105902429447,0.6223961495201422,0.9401540832666112,C8p_QI21500
C8p_QI21722,9.28,681.5421,,,0.050179877000000005,C8-pos,-1.3240745454076899,0.4398818396370245,0.7021637635377598,C8p_QI21722
C8p_QI21783,9.28,682.6339999999999,,,0.062151232,C8-pos,-1.0540330796484128,0.13223723400042786,0.6239125209001255,C8p_QI21783
C8p_QI22155,9.28,690.6002,,,0.053710073,C8-pos,-1.0924346833471432,0.3940565966408087,0.8529431300309849,C8p_QI22155
C8p_QI22818,9.28,704.6162,,,0.054794428,C8-pos,-0.6222951798681393,0.238759794120055,0.8653329091218662,C8p_QI22818
C8p_QI16260,9.29,573.5219999999999,,,0.045718590999999996,C8-pos,-0.6495273499731198,0.12116817462847962,0.5475964026597689,C8p_QI16260
C8p_QI16899,9.29,585.5011,,,0.02800831,C8-pos,0.6689631552453861,0.3085108183662726,0.6196935849336338,C8p_QI16899
C8p_QI17667,9.29,599.5011,,,0.034094885,C8-pos,-0.6901681809667721,0.8160219572822882,0.7172159629014683,C8p_QI17667
C8p_QI17789,9.29,601.4748,,,0.027437997999999998,C8-pos,0.3865553946252689,0.6891448878090216,0.6641931014207554,C8p_QI17789
C8p_QI18536,9.29,615.4749,,,0.045330132,C8-pos,-0.6338298707250729,0.5096495531837757,0.3836500125077915,C8p_QI18536
C8p_QI25080,9.29,772.6286,,,0.08757688699999999,C8-pos,-1.171552458310522,0.2563224219124152,0.28005916644608503,C8p_QI25080
C8p_QI29316,9.29,1024.8231,,,0.057727169,C8-pos,2.2291485876794686,-2.5631064988334344,-5.927580050930627,C8p_QI29316
C8p_QI17121,9.3,589.4968,,,0.054644439,C8-pos,-1.370712080502905,0.4628377341072394,0.5672035889772129,C8p_QI17121
C8p_QI19434,9.3,633.3621,,,0.407803918,C8-pos,0.19781323382814972,0.9555367611687018,0.570211000934,C8p_QI19434
C8p_QI25192,9.3,777.5845,,,0.04074564,C8-pos,0.04089375445803256,0.4536443136970831,0.6362539010194492,C8p_QI25192
C8p_QI25550,9.3,793.5582,,,0.074431564,C8-pos,-1.3517415910009518,0.5365999125282599,0.6562432723191929,C8p_QI25550
C8p_QI26006,9.3,811.6682,,,0.07024552099999999,C8-pos,0.12864800403078647,0.6229492806236561,-1.9670364184233,C8p_QI26006
C8p_QI26320,9.3,826.6765,,,0.07363484299999999,C8-pos,-0.9193866639379636,0.398658313636048,0.2685685830262852,C8p_QI26320
C8p_QI26468,9.3,833.6515,,,0.11895270599999999,C8-pos,-1.2180030732397211,0.6194806479255988,-1.674870662197714,C8p_QI26468
C8p_QI20386,9.31,653.4902,,,0.022320735,C8-pos,1.9704305739160404,0.055477895621519835,0.4940366225389194,C8p_QI20386
C8p_QI24355,9.31,747.5741,,,0.043828325,C8-pos,-0.4493673234228268,0.6719164036552723,0.5918364005235386,C8p_QI24355
C8p_QI26742,9.31,848.6582,,,0.057074401,C8-pos,-0.00037268688718228304,0.5321803473274542,0.21108300258194926,C8p_QI26742
C8p_QI19673,9.32,637.5164,,,0.028765436000000002,C8-pos,2.0742523283716072,0.08544639575884894,0.5967933612016392,C8p_QI19673
C8p_QI26673,9.32,844.6868,,,0.06325502599999999,C8-pos,0.06001301715334506,0.6076897763054205,0.17775077392136573,C8p_QI26673
C8p_QI27094,9.32,866.6687,,,0.05202096900000001,C8-pos,0.3423654646631107,0.6055554531853016,0.016054816737527844,C8p_QI27094
C8p_QI28783,9.32,972.7342,,,0.062490163,C8-pos,1.003064832186304,0.2616706274788214,-1.6962017340513516,C8p_QI28783
C8p_QI29036,9.32,994.716,,,0.049704694,C8-pos,0.7621366591211185,0.5774473332207037,-1.9497641844602869,C8p_QI29036
C8p_QI26495,9.33,835.5685,,,2.108539907,C8-pos,2.4015609831567635,-0.5931555844504999,1.359296567931528,C8p_QI26495
C8p_QI18648,9.34,617.4892,,,3.819089632,C8-pos,-0.915598669553198,0.6319191836159046,-0.7993737978788662,C8p_QI18648
C8p_QI21363,9.34,673.5878,,,0.039495016,C8-pos,0.7277171225305423,-0.1192214108665155,0.5009843783525181,C8p_QI21363
C8p_QI24405,9.34,748.6203,,,0.072489771,C8-pos,-0.5402248292211667,0.4820816897194221,-2.1834527773710537,C8p_QI24405
C8p_QI24880,9.34,765.5843,,,0.059928907999999996,C8-pos,0.009413918947778654,0.8488775872032477,0.7215444522050571,C8p_QI24880
C8p_QI25286,9.34,781.5583,,,0.22379464699999999,C8-pos,-1.0929944901708737,0.6318294190208746,0.3655667977479649,C8p_QI25286
C8p_QI28896,9.34,980.7967,,,0.050551017999999996,C8-pos,2.4730331511255135,-2.153160057183044,-5.1872083468290615,C8p_QI28896
C8p_QI17908,9.35,603.5341,,,0.04282505,C8-pos,2.4097001166101317,0.7436387919227911,0.8733069377092075,C8p_QI17908
C8p_QI24744,9.35,760.6291,,,0.073994845,C8-pos,-0.9189308076147212,0.5853723667900397,0.555042691722269,C8p_QI24744
C8p_QI19407,9.36,632.5607,,,0.033444267,C8-pos,3.3425142378564705,0.07896570194171204,0.5711112694886875,C8p_QI19407
C8p_QI20351,9.36,652.587,,,0.040325848,C8-pos,1.0304958433862552,0.6392770193855579,0.4814115243104649,C8p_QI20351
C8p_QI20544,9.36,656.5607,,,0.035810326,C8-pos,0.6888639540429935,0.5932778500358893,1.0026848392633152,C8p_QI20544
C8p_QI21029,9.36,666.6024,,,0.060837987,C8-pos,-0.7428329377416745,0.3896851919929798,0.2808697896150303,C8p_QI21029
C8p_QI21499,9.36,676.5869,,,0.041063406000000004,C8-pos,1.7912723631616458,0.4149985693733527,1.235147662654276,C8p_QI21499
C8p_QI21688,9.36,680.6004,,,0.075436473,C8-pos,-0.5701988129858151,0.1485567473213507,-0.0801669878813076,C8p_QI21688
C8p_QI21724,9.36,681.5424,,,0.049027348,C8-pos,-0.2059247880224362,0.15561393726275696,1.17398137618577,C8p_QI21724
C8p_QI25037,9.36,771.5127,,,0.622450861,C8-pos,-1.2006652741674555,-0.0955710030753778,-0.7537445349546719,C8p_QI25037
C8p_QI29162,9.36,1008.7548,,,0.108694123,C8-pos,-1.5362804322485104,0.6758846424858405,0.3947610335496616,C8p_QI29162
C8p_QI4016,9.37,339.2891,,,0.042458412,C8-pos,0.8748151869531497,0.5724310063164069,0.6353003459123325,C8p_QI4016
C8p_QI17947,9.37,604.5656,,,0.20253778,C8-pos,-1.2173459916357174,-0.057730159874695985,1.094497926726694,C8p_QI17947
C8p_QI18798,9.37,620.5979,,,0.055309395,C8-pos,-0.9008300690893308,-0.21824904453350769,-0.5328850073667812,C8p_QI18798
C8p_QI18842,9.37,621.5449,,,0.045669465,C8-pos,0.6595785231347904,0.6552714489738758,0.6884957032350254,C8p_QI18842
C8p_QI20077,9.37,646.5762,,,0.04563245,C8-pos,0.9283635229822024,0.1079304598610218,0.5521318392900181,C8p_QI20077
C8p_QI20687,9.37,659.5007,,,0.025210454,C8-pos,3.3121683211084236,0.9882264517586066,0.6674345212129307,C8p_QI20687
C8p_QI23098,9.37,711.5139,,,0.041354653,C8-pos,-0.2170598893407956,0.6345198534767444,0.40980035831009853,C8p_QI23098
C8p_QI27191,9.38,871.5727,,,0.044299463,C8-pos,3.9251877875085697,1.0069704436104132,0.8365199046281528,C8p_QI27191
C8p_QI27594,9.38,893.5544,,,0.032423112999999996,C8-pos,1.3084575743432865,0.90114644992755,0.8582838254121494,C8p_QI27594
C8p_QI19215,9.39,628.5511,,,0.041157435,C8-pos,1.7122032255884037,0.8223113201896961,0.4710002617982578,C8p_QI19215
C8p_QI19457,9.39,633.5067,,,0.075233232,C8-pos,0.4525239081140384,0.7310753248970325,0.6063087659028721,C8p_QI19457
C8p_QI25368,9.39,784.6656,,,0.06459293,C8-pos,0.14834233233889196,0.19370774257586554,-0.12978070209944725,C8p_QI25368
C8p_QI25785,9.39,802.6757,,,0.081953605,C8-pos,-1.0200755982641354,0.5302920721809681,0.4766703324464512,C8p_QI25785
C8p_QI25885,9.39,806.6477,,,0.04531158,C8-pos,0.4932915777917728,0.6326659106056525,0.11351222564255715,C8p_QI25885
C8p_QI26222,9.39,822.6218,,,0.4612125,C8-pos,-1.2806804566625731,0.38712028491900696,-0.16134827564681056,C8p_QI26222
C8p_QI28304,9.39,936.7706,,,0.05547069599999999,C8-pos,2.6278421492334236,-3.297443351860778,-4.3880845827909765,C8p_QI28304
C8p_QI6087,9.4,383.3148,,,1.386920247,C8-pos,-0.3423812775854245,1.5151726387779547,0.2418256478456211,C8p_QI6087
C8p_QI17888,9.4,603.4756,,,0.08890489300000001,C8-pos,-1.0965431123022211,0.05766991603778138,0.21085423995530128,C8p_QI17888
C8p_QI20199,9.4,649.48,,,0.038408812,C8-pos,0.15064640948732946,0.7172944926063849,0.6670904832032871,C8p_QI20199
C8p_QI26287,9.4,824.6568,,,0.06610054,C8-pos,-0.262536802792944,0.5613947294990851,0.23712582160508155,C8p_QI26287
C8p_QI26706,9.4,846.5885,,,2.651026217,C8-pos,-0.8013093858007565,1.074922242049437,0.2650454716829014,C8p_QI26706
C8p_QI27885,9.41,909.5283,,,0.034800041000000004,C8-pos,0.9971458525415288,0.9473952435295416,0.8950488047746372,C8p_QI27885
C8p_QI20080,9.42,646.6129,,,0.045075642,C8-pos,-0.3473337083105221,0.30855349529193177,-0.384803704723959,C8p_QI20080
C8p_QI21112,9.42,668.5948,,,0.030775833,C8-pos,0.4204003424402103,0.2759290121834113,-0.5411924643369961,C8p_QI21112
C8p_QI21874,9.42,684.5688,,,0.061711742,C8-pos,-0.4731672196630612,0.39122132289813294,0.04176146556412697,C8p_QI21874
C8p_QI27051,9.42,864.2665,,,0.5408182579999999,C8-pos,-0.6812799363378659,0.4705837153236683,0.2526539044526768,C8p_QI27051
C8p_QI17345,9.43,593.5979,,,0.040043058,C8-pos,2.2953221411462654,0.9982715033333136,0.8673148827699375,C8p_QI17345
C8p_QI18549,9.43,615.5793,,,0.029463077,C8-pos,1.7856256575342044,1.0833027743141468,0.888059802546854,C8p_QI18549
C8p_QI18998,9.43,624.6402,,,0.041286008,C8-pos,-0.8253896622900143,0.7639500283043219,0.6392352061418247,C8p_QI18998
C8p_QI19061,9.43,625.5165,,,0.044254739,C8-pos,-1.4687154679540768,0.7051310919563605,0.6874590592530918,C8p_QI19061
C8p_QI20328,9.43,651.6507,,,0.083637534,C8-pos,-0.7552688508276121,0.8608256958763434,0.708212562098856,C8p_QI20328
C8p_QI22258,9.43,692.6157,,,0.07210670200000001,C8-pos,-1.2973258881811276,-0.10590835582806336,0.9983955698159884,C8p_QI22258
C8p_QI22934,9.43,707.5618,,,4.200586052,C8-pos,-1.2576702027563231,-2.2808537102897333,0.8603832202104282,C8p_QI22934
C8p_QI15908,9.44,567.5347,,,0.060365562000000005,C8-pos,-0.4357479005102292,-0.6773304558952038,0.564385600581522,C8p_QI15908
C8p_QI19376,9.44,631.5274,,,0.062476524000000005,C8-pos,-1.2094314484838622,0.5014589213173206,0.11035794784104347,C8p_QI19376
C8p_QI19719,9.44,638.52,,,0.026773667999999997,C8-pos,1.3394372076745853,0.11508516300128235,0.4781072812226963,C8p_QI19719
C8p_QI20746,9.44,660.5902,,,0.034754127999999995,C8-pos,0.10339566180666536,0.2620289706032093,0.6612022595552158,C8p_QI20746
C8p_QI21233,9.44,670.6333,,,0.082999902,C8-pos,-1.2368438630346432,-0.5906235791404413,0.3887797074464512,C8p_QI21233
C8p_QI25983,9.44,810.6814,,,0.057248661,C8-pos,0.7696044058557376,0.5422491215507819,-0.649722270474081,C8p_QI25983
C8p_QI26441,9.44,832.6633,,,0.031838449,C8-pos,1.4412533850427494,0.6767412804405524,-0.6181484980436611,C8p_QI26441
C8p_QI26739,9.44,848.6393,,,0.06051526,C8-pos,-0.2184636979345456,0.6147369526665027,-0.7507802767607021,C8p_QI26739
C8p_QI26796,9.44,850.6739,,,0.068338752,C8-pos,-0.3500602631811276,0.23739770877764954,-0.18025963734114647,C8p_QI26796
C8p_QI19729,9.45,638.6082,,,0.122296722,C8-pos,-0.33358935406247525,0.1846242331306751,0.3554350810197544,C8p_QI19729
C8p_QI19863,9.45,641.4906,,,0.119365825,C8-pos,-1.4138200669531005,0.36433772075579895,0.34852082301651954,C8p_QI19863
C8p_QI21494,9.45,676.5634,,,0.10878524099999999,C8-pos,-1.487033644223608,0.40033081996844544,0.6484845357087803,C8p_QI21494
C8p_QI27578,9.45,892.7444,,,0.041500115,C8-pos,2.637097081636988,-3.5168957329948127,-3.607405833706503,C8p_QI27578
C8p_QI19114,9.46,626.5721,,,0.091458085,C8-pos,-1.2904870896581784,0.4225287817756964,0.32696206141983986,C8p_QI19114
C8p_QI22058,9.46,688.6203,,,0.050731465,C8-pos,-1.0736167817358149,0.2640653036873175,0.43549902011429786,C8p_QI22058
C8p_QI25509,9.46,791.6005,,,0.032449285,C8-pos,0.21317597339113806,0.9640236281196906,0.803737350001688,C8p_QI25509
C8p_QI26352,9.46,828.6909,,,0.069836654,C8-pos,-0.7571504502538815,0.20213917720721494,-0.1260961813780117,C8p_QI26352
C8p_QI26711,9.46,846.7026,,,0.049224699000000004,C8-pos,0.09703846881350132,0.6455212019722296,0.5778953509477329,C8p_QI26711
C8p_QI16080,9.47,570.5456,,,0.041586563,C8-pos,-0.97226790478269,0.048125066642029424,0.17501933146988868,C8p_QI16080
C8p_QI16362,9.47,575.501,,,0.029268046000000002,C8-pos,0.18441697070559115,0.6543547295372321,0.7790095286515903,C8p_QI16362
C8p_QI17225,9.47,591.4751,,,0.033349105,C8-pos,0.019109925722681,0.38931063640521296,0.4511471467164707,C8p_QI17225
C8p_QI20205,9.47,649.5156,,,3.28756212,C8-pos,0.12954350421389196,0.8656757258217151,-2.1008526606413174,C8p_QI20205
C8p_QI22210,9.47,691.5631,,,0.040147222,C8-pos,-0.17357234051267054,0.7076735876838995,0.5716967063096714,C8p_QI22210
C8p_QI26070,9.47,814.6763,,,0.084834713,C8-pos,-0.7810085206274167,0.2783618353645636,0.10116405059372903,C8p_QI26070
C8p_QI26518,9.47,836.6583,,,0.034468605,C8-pos,0.1492540449853763,0.4726758383552863,0.2445269303468418,C8p_QI26518
C8p_QI27141,9.47,868.6845,,,0.033450294,C8-pos,0.7606012434717044,0.5893919848244025,0.4855617957261753,C8p_QI27141
C8p_QI16480,9.48,577.5544,,,2.937983243,C8-pos,-1.3311479478124753,-2.3375110245902704,1.6154369490293217,C8p_QI16480
C8p_QI20911,9.48,664.5878,,,0.044617734000000006,C8-pos,0.24408360431154816,0.6435917996208502,0.5460353570131016,C8p_QI20911
C8p_QI21860,9.48,684.2026,,,0.367521571,C8-pos,1.8538300604577884,0.8987986229698492,0.7704584078935337,C8p_QI21860
C8p_QI22715,9.48,702.6029,,,0.064773338,C8-pos,-1.1203506379369872,0.04374054897235169,0.7905166821626377,C8p_QI22715
C8p_QI26465,9.48,833.6118,,,0.10342352,C8-pos,-1.1996114640478268,0.5938634060661627,0.6656213479188633,C8p_QI26465
C8p_QI27423,9.48,884.6584,,,0.087427756,C8-pos,-1.2290141968969481,0.20578149784014954,-0.08489530514204979,C8p_QI27423
C8p_QI16475,9.49,577.5167,,,0.051397557999999996,C8-pos,-1.244182386899389,0.6360861443321539,-0.3469180388304043,C8p_QI16475
C8p_QI19308,9.49,630.5792,,,0.043239522,C8-pos,-1.0848262696508542,0.35641697872088685,0.7286443190721226,C8p_QI19308
C8p_QI20493,9.49,655.5057,,,0.029622495,C8-pos,0.8021590323205814,-0.0802349663932489,0.1866319852021885,C8p_QI20493
C8p_QI21183,9.49,669.5426,,,0.026690292999999997,C8-pos,0.7259475798364505,0.6605658911506964,0.22307617236649516,C8p_QI21183
